Engilish,Türkçe
the,the
I,BEN
to,ile
and,Ve
a,A
of,ile ilgili
was,öyleydi
he,O
you,Sen
it,BT
in,içinde
her,o
she,o
that,O
my,Benim
his,onun
me,Ben
on,Açık
with,ile
at,en
as,gibi
had,vardı
for,için
but,Ancak
him,o
said,söz konusu
be,olmak
up,yukarı
out,dışarı
look,Bakmak
so,Bu yüzden
have,sahip olmak
what,Ne
not,Olumsuz
just,Sadece
like,beğenmek
go,Gitmek
they,Onlar
is,dır-dir
this,Bu
from,itibaren
all,Tümü
we,Biz
were,vardı
back,geri
do,Yapmak
one,bir
about,hakkında
know,Bilmek
if,eğer
when,Ne zaman
get,elde etmek
then,Daha sonra
into,içine
would,istemek
no,HAYIR
there,Orası
I'm,Ben
could,abilir
don't,yapma
ask,sormak
down,aşağı
time,zaman
didn't,yapmadı
want,istek
eye,göz
them,onlara
over,üzerinde
your,senin
are,öyle
or,veya
been,olmuştur
now,Şimdi
an,BİR
by,ile
think,düşünmek
see,Görmek
hand,el
it's,onun
say,söylemek
how,Nasıl
around,etrafında
head,KAFA
did,yaptı
well,Peki
before,önce
off,kapalı
who,DSÖ
more,Daha
even,eşit
turn,dönüş
come,Gelmek
smile,gülümsemek
way,yol
really,Gerçekten
can,olabilmek
face,yüz
other,diğer
some,bazı
right,Sağ
their,onların
only,sadece
walk,yürümek
make,yapmak
got,var
try,denemek
something,bir şey
room,oda
again,Tekrar
thing,şey
after,sonrasında
still,Hala
thought,düşünce
door,kapı
here,Burada
too,fazla
little,biraz
because,Çünkü
why,Neden
away,uzak
let,izin vermek
take,almak
two,iki
start,başlangıç
good,iyi
where,Neresi
never,Asla
through,başından sonuna kadar
day,gün
much,fazla
tell,söylemek
wasn't,değildi
girl,kız
feel,hissetmek
oh,ah
you're,sen
call,Arama
talk,konuşmak
will,irade
long,uzun
than,hariç
us,biz
made,yapılmış
friend,arkadaş
knew,biliyordum
open,açık
need,ihtiyaç
first,Birinci
which,Hangi
people,insanlar
that's,bu
went,gitmiş
sure,Elbette
seem,gözükmek
stop,durmak
voice,ses
very,çok
felt,keçe
took,alınmış
our,bizim
pull,çekmek
laugh,gülmek
man,Adam
okay,Tamam
close,kapalı
any,herhangi
came,gelmek
told,söylenmiş
love,Aşk
watch,kol saati
arm,kol
anything,herhangi bir şey
I'll,Hasta
though,Yine de
put,koymak
left,sol
work,iş
guy,adam
hair,saç
next,Sonraki
couldn't,yapamadım
yeah,Evet
while,sırasında
mean,Anlam
home,Ev
few,bir kaç
saw,testere
place,yer
school,okul
help,yardım
wait,Beklemek
late,geç
year,yıl
can't,yapamamak
house,ev
happen,olmak
last,son
always,Her zaman
move,taşınmak
old,eskimiş
night,gece
nod,başını sallamak
life,hayat
give,vermek
sit,oturmak
stare,bakmak
sat,doygunluk
should,meli
moment,an
another,bir diğer
behind,arka
side,taraf
sound,ses
once,bir kere
find,bulmak
toward,karşı
boy,erkek çocuk
ever,durmadan
nothing,Hiçbir şey
front,ön
mother,anne
name,isim
am,ben
since,o zamandan beri
reply,cevap vermek
he's,o
myself,kendim
leave,ayrılmak
bed,yatak
new,yeni
car,araba
use,kullanmak
mind,akıl
maybe,Belki
has,sahip olmak
heard,duyulmuş
answer,cevap
minute,dakika
yes,Evet
until,değin
both,ikisi birden
found,kurmak
end,son
small,küçük
I'd,İD
word,kelime
someone,birisi
same,Aynı
enough,yeterli
began,başlamak
run,koşmak
bit,biraz
sigh,iç çekmek
each,her biri
those,onlar
almost,neredeyse
against,aykırı
everything,her şey
most,en
thank,teşekkür etmek
wouldn't,yapmazdım
mom,anne
better,daha iyi
play,oynamak
I've,Ya sahibim
own,sahip olmak
every,Her
hard,zor
remember,Unutma
three,üç
stood,durmak
live,canlı
stand,durmak
second,ikinci
sorry,Üzgünüm
keep,kale
finally,Sonunda
point,nokta
gave,verilmiş
already,çoktan
actually,Aslında
probably,muhtemelen
himself,kendisi
big,büyük
everyone,herkes
guess,tahmin etmek
lot,pay
step,adım
hey,Hey
hear,duymak
light,ışık
quickly,hızlıca
dad,baba
kiss,öpücük
black,siyah
pick,seçmek
else,başka
soon,yakında
shoulder,omuz
table,masa
best,en iyi
without,olmadan
notice,fark etme
stay,kalmak
care,bakım
phone,telefon
reach,ulaşmak
realize,fark etmek
follow,takip etmek
decide,karar vermek
kind,tür
she's,o
grab,yakalamak
he'd,o
show,göstermek
inside,içeri
suddenly,Birden
father,baba
rest,dinlenmek
herself,kendini
grin,sırıtış
hour,saat
hope,umut
also,Ayrıca
body,vücut
might,belki
hadn't,yapmamıştı
floor,zemin
its,onun
continue,devam etmek
ran,koştu
across,karşısında
hold,tutmak
cry,ağlamak
half,yarım
pretty,tatlı
great,Harika
course,kurs
mouth,ağız
class,sınıf
kid,çocuk
miss,kayıp
wonder,merak etmek
morning,Sabah
least,en az
nice,Güzel
dark,karanlık
slowly,yavaşça
done,Tamamlandı
change,değiştirmek
doesn't,değil
together,birlikte
yet,henüz
question,soru
anyway,Neyse
bad,kötü
blue,mavi
believe,inanmak
week,hafta
God,Tanrı
lip,dudak
Mr.,Bay.
sleep,uyumak
fine,iyi
what's,ne
family,aile
many,birçok
worry,endişelenmek
roll,rulo
parent,ebeveyn
under,altında
surprise,sürpriz
water,su
onto,üzerine
we're,biz
glance,bakış atmak
wall,duvar
between,arasında
seen,görülen
read,Okumak
window,pencere
idea,fikir
white,beyaz
push,itmek
feet,ayak
must,mutlak
such,çok
seat,koltuk
set,ayarlamak
please,Lütfen
red,kırmızı
brother,Erkek kardeş
these,bunlar
whole,tüm
lean,eğilmek
part,parça
person,kişi
slightly,biraz
pass,geçmek
shook,salladı
fact,hakikat
wrong,yanlış
gone,gitmiş
far,uzak
hit,vurmak
finger,parmak
quite,epeyce
hate,nefret
meet,tanışmak
finish,sona ermek
heart,kalp
book,kitap
past,geçmiş
kill,öldürmek
reason,sebep
anyone,herhangi biri
figure,figür
top,tepe
along,birlikte
world,dünya
she'd,baraka
high,yüksek
shirt,gömlek
does,yapmak
today,Bugün
young,genç
held,tutulmuş
outside,dıştan
listen,Dinlemek
whisper,fısıltı
won't,alışkanlık
happy,mutlu
ground,zemin
deep,derin
drop,düşürmek
shrug,omuz silkmek
dress,elbise
fell,düşmüş
there's,var
yell,bağırmak
breath,nefes
air,hava
tear,göz yaşı
sister,kız kardeş
chair,sandalye
kitchen,mutfak
matter,konu
hurt,acıtmak
fall,düşmek
wear,giymek
isn't,değil
woman,kadın
eat,yemek yemek
lie,yalan
hell,cehennem
suppose,sanmak
cover,kapak
couple,çift
large,büyük
either,herhangi biri
five,beş
leg,bacak
jump,zıplamak
die,ölmek
return,geri dönmek
able,hünerli
bag,çanta
alone,yalnız
shut,kapamak
stuff,şey
short,kısa
ready,hazır
understand,anlamak
kept,tutulmuş
plan,plan
raise,artırmak
street,sokak
different,farklı
problem,sorun
break,kırmak
line,astar
early,erken
cut,kesmek
cold,soğuk
paper,kağıt
scream,bağırmak
instead,yerine
stupid,aptal
silence,sessizlik
tree,ağaç
caught,yakalanmış
ear,kulak
food,yiyecek
full,tam dolu
four,dört
cause,neden
fuck,Kahretsin
explain,açıklamak
expect,beklemek
fight,kavga
exactly,Kesinlikle
sort,düzenlemek
completely,tamamen
men,erkekler
dance,dans
met,tanışmak
story,hikaye
whatever,Her neyse
build,inşa etmek
speak,konuşmak
glass,bardak
pain,ağrı
check,kontrol etmek
glare,parlama
corner,köşe
Mrs.,Bayan.
chest,göğüs
hot,sıcak
rather,yerine
month,ay
real,gerçek
touch,dokunmak
park,park
bring,getirmek
they're,onlar
drink,içmek
ago,evvel
force,güç
you've,sen
fast,hızlı
lost,kayıp
attention,dikkat
wish,dilek
mark,işaret
wave,dalga
shout,bağırmak
fill,doldurmak
begin,başlamak
baby,Bebek
interest,faiz
money,para
fun,eğlence
green,yeşil
however,Yine de
cheek,yanak
mine,bana ait
clear,temizlemek
brown,kahverengi
forward,ileri
near,yakın
picture,resim
may,mayıs
cool,Serin
drive,sürmek
hug,sarılmak
shake,sallamak
sense,algı
alright,Tamam
you'll,yapacaksın
dream,rüya
hang,asmak
clothes,kıyafetler
act,davranmak
become,haline gelmek
manage,üstesinden gelmek
meant,anlamına gelen
game,oyun
ignore,görmezden gelmek
stair,merdiven
taken,alınmış
party,Parti
add,eklemek
sometimes,Bazen
job,iş
ten,on
shot,atış
date,tarih
quiet,sessizlik
gaze,bakış
group,grup
loud,yüksek sesle
straight,dümdüz
dead,ölü
neck,boyun
beside,yanında
pause,Duraklat
number,sayı
conversation,konuşma
chance,şans
we'll,Peki
rose,gül
quietly,sessizce
town,şehir
blood,kan
color,renk
desk,çalışma masası
dinner,akşam yemeği
hall,salon
horse,atış
music,müzik
brought,getirilmiş
piece,parça
anymore,artık değil
beautiful,Güzel
order,emir
fire,ateş
office,ofis
TRUE,DOĞRU
although,rağmen
warm,ılık
easy,kolay
enter,girmek
perfect,mükemmel
mutter,mırıldanmak
softly,usulca
cross,geçmek
shock,şok
smirk,sırıtış
damn,lanet etmek
soft,yumuşak
stomach,karın
snap,patlatmak
spoke,konuştu
tire,yorulmak
box,kutu
catch,yakalamak
skin,deri
teacher,Öğretmen
middle,orta
note,Not
yourself,kendin
haven't,yapmadım
lunch,öğle yemeği
tomorrow,Yarın
breathe,nefes almak
clean,temiz
except,hariç
appear,belli olmak
lock,kilit
knock,kapıyı çalmak
bathroom,banyo
movie,film
agree,kabul etmek
offer,teklif
kick,tekme atmak
form,biçim
confuse,kafası karışmak
lay,sermek
less,az
calm,sakinlik
slip,kayma
weren't,değildi
sign,imza
dog,köpek
lift,kaldırmak
immediately,hemen
arrive,varmak
deal,anlaşmak
tonight,bu akşam
usually,genellikle
case,dava
frown,kaşlarını çatmak
shop,mağaza
scare,Korkmak
promise,söz
mum,anne
couch,kanepe
pay,ödemek
state,durum
shit,bok
wrap,dürüm
pocket,cep
hello,Merhaba
free,özgür
huge,büyük
ride,sürmek
bother,rahatsız etmek
land,kara
known,bilinen
especially,özellikle
expression,ifade
carry,taşımak
ring,yüzük
spot,leke
allow,izin vermek
several,birçok
aren't,değil
during,sırasında
empty,boş
lady,bayan
eyebrow,kaş
strange,garip
coffee,Kahve
road,yol
threw,attı
wide,geniş
bus,otobüs
forget,unutmak
gotten,elde edildi
smell,koku
fear,korku
press,basmak
boyfriend,erkek arkadaş
blonde,sarışın
throw,fırlatmak
round,yuvarlak
sun,güneş
tall,uzun
glad,memnun
age,yaş
write,yazmak
upon,üzerine
hide,saklamak
became,oldu
crowd,kalabalık
rain,yağmur
save,kaydetmek
trouble,bela
annoy,kızdırmak
nose,burun
weird,garip
death,ölüm
beat,vurmak
tone,ton
trip,seyahat
six,altı
control,kontrol
nearly,neredeyse
consider,dikkate almak
gonna,yapacağım
join,katılmak
learn,öğrenmek
above,üstünde
hi,MERHABA
obviously,açıkça
entire,bütün
direction,yön
foot,ayak
angry,sinirli
power,güç
strong,güçlü
quick,hızlı
doctor,doktor
edge,kenar
song,şarkı
asleep,uyuya kalmak
twenty,yirmi
barely,neredeyse
remain,geriye kalmak
child,çocuk
enjoy,Eğlence
gun,silah
slow,yavaş
city,şehir
broke,parasız
key,anahtar
lead,yol göstermek
throat,boğaz
normal,normal
you'd,sen
somewhere,bir yerde
wake,uyanmak
pair,çift
sky,gökyüzü
funny,eğlenceli
business,işletme
student,öğrenci
giggle,kıkırdama
bright,parlak
admit,itiraf etmek
jeans,kot
given,verildi
children,çocuklar
store,mağaza
sweet,tatlı
low,Düşük
climb,tırmanmak
rub,ovmak
apartment,apartman
knee,diz
shoe,ayakkabı
attack,saldırı
bedroom,yatak odası
joke,şaka
spent,harcanan
situation,durum
stuck,sıkışmak
gently,nazikçe
possible,olası
cell,hücre
mention,değinmek
silent,sessiz
definitely,kesinlikle
rush,acele etmek
hung,asılı
brush,fırçalamak
perhaps,belki
groan,inilti
ass,eşek
rock,kaynak
card,kart
lose,kaybetmek
blush,kızarmak
besides,Ayrıca
crazy,deli
type,tip
bore,delik
afraid,korkmuş
chase,takip etmek
respond,yanıtlamak
marry,evlenmek
remind,hatırlatmak
pack,ambalaj
daughter,kız çocuğu
serious,cidden
girlfriend,kız arkadaşı
mad,kızgın
somehow,bir şekilde
buy,satın almak
sent,gönderilmiş
tight,sıkı
simply,basitçe
trust,güven
imagine,hayal etmek
wind,rüzgâr
chuckle,kıkırdama
bar,çubuk
pink,pembe
shove,kıpırdamak
ball,top
sight,görünüş
drag,sürüklemek
they'd,onlar
human,insan
truth,gerçek
share,paylaşmak
area,alan
concern,kaygı
shouldn't,yapmamalı
team,takım
escape,kaçmak
mumble,mırıltı
often,sıklıkla
search,aramak
apparently,görünüşe göre
attempt,girişim
son,oğul
within,içinde
band,bant
cute,Sevimli
led,neden olmuş
memory,hafıza
anger,kızgınlık
fly,uçmak
paint,boyamak
bottle,şişe
busy,Meşgul
comment,Yorum
exclaim,haykırmak
avoid,kaçınmak
grow,büyümek
grey,gri
mirror,ayna
gasp,nefesi kesilmek
hallway,koridor
dear,Sayın
star,yıldız
sick,hasta
cat,kedi
counter,tezgah
interrupt,yarıda kesmek
none,hiçbiri
blink,göz kırpmak
spend,harcamak
usual,olağan
worse,daha kötüsü
locker,soyunma
important,önemli
favorite,favori
grip,kavramak
TV,televizyon
ice,buz
pretend,numara yapmak
settle,yerleşmek
amaze,hayrete düşürmek
pop,pop
disappear,yok olmak
carefully,dikkatlice
train,tren
stick,sopa
guard,koruma
teeth,dişler
flash,flaş
uncle,amca
send,Göndermek
doubt,şüphe
visit,ziyaret etmek
nervous,gergin
excite,heyecanlandırmak
approach,yaklaşmak
excuse,mazeret
fit,yerleştirmek
noise,gürültü
study,çalışmak
letter,mektup
police,polis
eventually,sonunda
burn,yakmak
field,alan
hospital,hastane
tie,bağlamak
summer,yaz
huh,Ha
shift,vardiya
self,öz
hurry,acele etmek
greet,selamlaşmak
wife,eş
position,konum
we've,biz
wipe,silip süpürmek
heavy,ağır
slam,çarpmak
broken,kırık
complete,tamamlamak
space,uzay
brain,beyin
tiny,minik
pants,pantolon
ah,Ah
punch,yumruk
shower,duş
tongue,dil
afternoon,öğleden sonra
seriously,Cidden
cup,bardak
further,daha öte
race,ırk
recognize,tanımak
computer,bilgisayar
rang,çaldı
safe,güvenli
jacket,ceket
bottom,alt
hundred,yüz
relax,rahatlamak
sudden,birden
wow,Vay
college,kolej
flip,çevir
mood,mod
track,izlemek
crack,çatırtı
block,engellemek
handle,halletmek
themselves,kendileri
drove,sürdü
seven,Yedi
struggle,çabalamak
whether,ikisinden biri
ahead,ilerde
sad,üzgün
dry,kuru
women,kadınlar
focus,odak
repeat,tekrarlamak
thick,kalın
relationship,ilişki
jerk,sarsmak
present,Sunmak
suck,emmek
bell,zil
surround,çevrelemek
evening,akşam
bite,ısırmak
single,Bekar
fault,arıza
shadow,gölge
wood,odun
easily,kolayca
woke,uyandım
smoke,Sigara içmek
draw,çizmek
suggest,tavsiye etmek
wet,ıslak
accept,kabul etmek
third,üçüncü
totally,tamamen
wore,giydi
breakfast,kahvaltı
trail,iz
animal,hayvan
warn,uyarmak
aunt,hala
sir,Sayın
piss,işemek
burst,patlamak
match,kibrit
fix,düzeltmek
practically,pratikte
odd,garip
wash,yıkamak
sing,şarkı söylemek
inch,inç
size,boyut
secret,gizli
who's,kim
clock,saat
company,şirket
view,görüş
suit,uygun olmak
forever,sonsuza kadar
familiar,aşina
forehead,alın
shoot,film çekmek
grew,büyüdü
stretch,uzatmak
pound,pound
despite,aksine
response,cevap
center,merkez
curl,kıvırmak
slight,hafif
toss,atmak
beneath,altında
fist,yumruk
welcome,Hoş geldin
laughter,kahkaha
angel,melek
Christmas,Noel
we'd,evlenmek
main,ana
simple,basit
neither,hiç biri
distance,mesafe
comfort,konfor
upset,üzgün
assume,farz etmek
eight,sekiz
gather,toplamak
lucky,şanslı
fade,solmak
Ms.,Hanım.
coat,kaban
special,özel
awkward,garip
certain,kesin
plate,plaka
darkness,karanlık
practice,pratik
